day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
-1;0;AMETHYSTS;10002;1;9996;2;9995;29;10004;2;10005;29;;;10003.0;0.0
-1;0;STARFRUIT;4951;1;4946;2;4945;29;4952;31;;;;;4951.5;0.0
-1;100;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;4.0
-1;100;STARFRUIT;4945;24;;;;;4952;24;;;;;4948.5;3.4443359375
-1;200;STARFRUIT;4945;20;;;;;4952;20;;;;;4948.5;3.79541015625
-1;200;AMETHYSTS;9995;20;;;;;10005;20;;;;;10000.0;4.0
-1;300;AMETHYSTS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;4.0
-1;300;STARFRUIT;4945;31;;;;;4952;31;;;;;4948.5;3.60400390625
-1;400;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;4.0
-1;400;STARFRUIT;4945;27;;;;;4952;27;;;;;4948.5;3.33740234375
-1;500;AMETHYSTS;9995;30;;;;;10002;4;10005;30;;;9998.5;4.0
-1;500;STARFRUIT;4945;30;;;;;4950;4;4952;30;;;4947.5;3.6669921875
-1;600;STARFRUIT;4945;25;;;;;4952;25;;;;;4948.5;3.27734375
-1;600;AMETHYSTS;10000;5;9995;25;;;10005;25;;;;;10002.5;4.0
-1;700;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;4.0
-1;700;STARFRUIT;4945;23;;;;;4952;23;;;;;4948.5;3.4765625
-1;800;AMETHYSTS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;4.0
-1;800;STARFRUIT;4944;30;;;;;4951;30;;;;;4947.5;4.6953125
-1;900;STARFRUIT;4944;1;4943;22;;;4950;23;;;;;4947.0;5.22998046875
-1;900;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;4.0
-1;1000;STARFRUIT;4944;26;;;;;4951;26;;;;;4947.5;4.966796875
-1;1000;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;4.0
-1;1100;STARFRUIT;4944;26;;;;;4950;2;4951;24;;;4947.0;4.8994140625
-1;1100;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;4.0
-1;1200;AMETHYSTS;9995;21;;;;;9998;1;10005;21;;;9996.5;-4.0
-1;1200;STARFRUIT;4944;21;;;;;4951;21;;;;;4947.5;4.5439453125
-1;1300;AMETHYSTS;10002;1;9996;1;9995;30;10004;1;10005;30;;;10003.0;-4.0
-1;1300;STARFRUIT;4944;31;;;;;4951;31;;;;;4947.5;8.345703125
-1;1400;STARFRUIT;4945;26;;;;;4951;1;4952;25;;;4948.0;6.162109375
-1;1400;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;-4.0
-1;1500;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;-4.0
-1;1500;STARFRUIT;4944;27;;;;;4951;27;;;;;4947.5;7.771484375
-1;1600;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;-4.0
-1;1600;STARFRUIT;4945;29;;;;;4952;29;;;;;4948.5;6.4140625
-1;1700;AMETHYSTS;9996;2;9995;20;;;10002;1;10004;2;10005;20;9999.0;-2.0
-1;1700;STARFRUIT;4946;2;4945;20;;;4950;2;4952;22;;;4948.0;3.23046875
-1;1800;STARFRUIT;4946;1;4945;22;;;4952;23;;;;;4949.0;3.869140625
-1;1800;AMETHYSTS;10002;1;9996;1;9995;22;10004;1;10005;22;;;10003.0;-2.0
-1;1900;AMETHYSTS;9996;1;9995;28;;;10004;1;10005;28;;;10000.0;0.0
-1;1900;STARFRUIT;4950;1;4945;29;;;4952;29;;;;;4951.0;5.87109375
-1;2000;AMETHYSTS;9996;2;9995;24;;;9998;1;10004;2;10005;24;9997.0;0.0
-1;2000;STARFRUIT;4945;26;;;;;4951;2;4952;24;;;4948.0;7.77734375
-1;2100;AMETHYSTS;9996;2;9995;25;;;10002;3;10004;2;10005;25;9999.0;-2.0
-1;2100;STARFRUIT;4945;27;;;;;4950;3;4952;27;;;4947.5;6.853515625
-1;2200;STARFRUIT;4946;8;4945;25;;;4952;25;;;;;4949.0;5.50390625
-1;2200;AMETHYSTS;9998;8;9996;1;9995;24;10004;1;10005;24;;;10001.0;-2.0
-1;2300;AMETHYSTS;9998;7;9996;2;9995;30;10004;2;10005;30;;;10001.0;-2.0
-1;2300;STARFRUIT;4946;9;4945;30;;;4952;32;;;;;4949.0;4.392578125
-1;2400;AMETHYSTS;9995;29;;;;;10005;29;;;;;10000.0;-2.0
-1;2400;STARFRUIT;4950;3;4947;29;;;4954;29;;;;;4952.0;-4.828125
-1;2500;STARFRUIT;4947;1;4946;22;;;4949;2;4953;23;;;4948.0;-2.810546875
-1;2500;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;-2.0
-1;2600;STARFRUIT;4946;23;;;;;4953;23;;;;;4949.5;-2.05859375
-1;2600;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;-2.0
-1;2700;STARFRUIT;4947;6;4946;26;;;4953;26;;;;;4950.0;-4.3359375
-1;2700;AMETHYSTS;9998;6;9995;26;;;10005;26;;;;;10001.5;-2.0
-1;2800;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;-2.0
-1;2800;STARFRUIT;4946;25;;;;;4953;25;;;;;4949.5;-2.62109375
-1;2900;STARFRUIT;4946;26;;;;;4953;26;;;;;4949.5;-1.19140625
-1;2900;AMETHYSTS;9996;1;9995;25;;;10004;1;10005;25;;;10000.0;-2.0
-1;3000;STARFRUIT;4947;1;4946;26;;;4953;26;;;;;4950.0;-1.5390625
-1;3000;AMETHYSTS;9998;1;9995;26;;;10005;26;;;;;10001.5;-50.0
-1;3100;STARFRUIT;4947;26;;;;;4953;2;4954;24;;;4950.0;-3.73046875
-1;3100;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;-45.0
-1;3200;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;-53.0
-1;3200;STARFRUIT;4947;1;4946;22;;;4953;23;;;;;4950.0;-7.234375
-1;3300;STARFRUIT;4946;32;;;;;4953;32;;;;;4949.5;-5.74609375
-1;3300;AMETHYSTS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;-61.0
-1;3400;STARFRUIT;4946;26;;;;;4953;26;;;;;4949.5;-7.6796875
-1;3400;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;-61.0
-1;3500;STARFRUIT;4946;26;;;;;4953;26;;;;;4949.5;-10.10546875
-1;3500;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;-61.0
-1;3600;AMETHYSTS;9995;21;;;;;9998;4;10005;21;;;9996.5;-61.0
-1;3600;STARFRUIT;4947;21;;;;;4954;21;;;;;4950.5;-18.0859375
-1;3700;STARFRUIT;4947;24;;;;;4953;1;4954;23;;;4950.0;-18.02734375
-1;3700;AMETHYSTS;10002;1;9996;1;9995;23;10004;1;10005;23;;;10003.0;-61.0
-1;3800;STARFRUIT;4947;25;;;;;4952;10;4953;2;4954;23;4949.5;-17.51953125
-1;3800;AMETHYSTS;9996;2;9995;23;;;10002;10;10004;2;10005;23;9999.0;-59.0
-1;3900;STARFRUIT;4948;1;4947;26;;;4953;1;4954;25;;;4950.5;22.515625
-1;3900;AMETHYSTS;9998;1;9996;1;9995;25;10004;1;10005;25;;;10001.0;-63.0
-1;4000;AMETHYSTS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;-63.0
-1;4000;STARFRUIT;4947;32;;;;;4953;2;4954;30;;;4950.0;23.390625
-1;4100;STARFRUIT;4946;29;;;;;4953;29;;;;;4949.5;35.03125
-1;4100;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;-63.0
-1;4200;STARFRUIT;4946;26;;;;;4951;4;4953;26;;;4948.5;35.53125
-1;4200;AMETHYSTS;9996;2;9995;24;;;10002;4;10004;2;10005;24;9999.0;-63.0
-1;4300;STARFRUIT;4951;1;4946;22;;;4953;22;;;;;4952.0;51.8125
-1;4300;AMETHYSTS;9995;22;;;;;9998;1;10000;6;10005;22;9996.5;-71.0
-1;4400;AMETHYSTS;9995;30;;;;;10005;30;;;;;10000.0;-81.0
-1;4400;STARFRUIT;4946;30;;;;;4953;30;;;;;4949.5;45.40625
-1;4500;STARFRUIT;4946;28;;;;;4951;10;4953;29;;;4948.5;43.125
-1;4500;AMETHYSTS;9996;1;9995;28;;;10002;10;10004;1;10005;28;9999.0;-81.0
-1;4600;STARFRUIT;4946;30;;;;;4951;10;4953;30;;;4948.5;38.984375
-1;4600;AMETHYSTS;9996;1;9995;29;;;10002;10;10004;1;10005;29;9999.0;-81.0
-1;4700;STARFRUIT;4946;32;;;;;4952;2;4953;30;;;4949.0;48.203125
-1;4700;AMETHYSTS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;-81.0
-1;4800;AMETHYSTS;9998;6;9996;2;9995;22;10004;2;10005;22;;;10001.0;-81.0
-1;4800;STARFRUIT;4947;6;4946;24;;;4952;2;4953;22;;;4949.5;48.5
-1;4900;STARFRUIT;4946;22;;;;;4950;7;4952;22;;;4948.0;62.453125
