day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
0;0;AMETHYSTS;9998;1;9995;30;;;10005;30;;;;;10001.5;0.0
0;0;STARFRUIT;4893;1;4892;30;;;4899;30;;;;;4896.0;0.0
0;100;AMETHYSTS;9996;1;9995;30;;;10002;6;10004;1;10005;30;9999.0;2.0
0;100;STARFRUIT;4892;31;;;;;4896;7;4898;31;;;4894.0;0.0
0;200;AMETHYSTS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;2.0
0;200;STARFRUIT;4892;22;;;;;4899;22;;;;;4895.5;0.0
0;300;AMETHYSTS;9996;2;9995;23;;;9998;3;10004;2;10005;23;9997.0;2.0
0;300;STARFRUIT;4893;25;;;;;4899;2;4900;23;;;4896.0;0.0
0;400;AMETHYSTS;9998;5;9996;2;9995;23;10004;2;10005;23;;;10001.0;-4.0
0;400;STARFRUIT;4894;5;4893;25;;;4899;25;;;;;4896.5;0.0
0;500;AMETHYSTS;10002;1;9996;2;9995;22;10004;2;10005;22;;;10003.0;-4.0
0;500;STARFRUIT;4893;24;;;;;4899;24;;;;;4896.0;27.28125
0;600;AMETHYSTS;9996;2;9995;24;;;10002;9;10004;2;10005;24;9999.0;2.0
0;600;STARFRUIT;4892;26;;;;;4897;9;4899;26;;;4894.5;35.04296875
0;700;AMETHYSTS;9998;7;9995;27;;;10005;27;;;;;10001.5;2.0
0;700;STARFRUIT;4892;7;4891;27;;;4898;27;;;;;4895.0;42.83203125
0;800;AMETHYSTS;9995;26;;;;;10005;26;;;;;10000.0;2.0
0;800;STARFRUIT;4891;26;;;;;4898;26;;;;;4894.5;45.484375
0;900;STARFRUIT;4892;2;4891;27;;;4898;29;;;;;4895.0;41.75390625
0;900;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;2.0
0;1000;AMETHYSTS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;2.0
0;1000;STARFRUIT;4891;28;;;;;4897;2;4898;26;;;4894.0;47.8828125
0;1100;STARFRUIT;4891;25;;;;;4898;25;;;;;4894.5;46.28515625
0;1100;AMETHYSTS;9996;2;9995;23;;;10004;2;10005;23;;;10000.0;2.0
0;1200;AMETHYSTS;9998;9;9996;2;9995;28;10004;2;10005;28;;;10001.0;2.0
0;1200;STARFRUIT;4892;9;4891;30;;;4898;30;;;;;4895.0;45.55078125
0;1300;STARFRUIT;4891;1;4890;27;;;4892;4;4897;28;;;4891.5;51.4140625
0;1300;AMETHYSTS;9996;1;9995;27;;;10004;1;10005;27;;;10000.0;2.0
0;1400;AMETHYSTS;9996;2;9995;24;;;10004;2;10005;24;;;10000.0;2.0
0;1400;STARFRUIT;4891;1;4890;24;;;4897;26;;;;;4894.0;48.6015625
0;1500;STARFRUIT;4896;1;4891;2;4890;20;4897;22;;;;;4896.5;48.234375
0;1500;AMETHYSTS;10002;1;9996;2;9995;20;10004;2;10005;20;;;10003.0;2.0
0;1600;AMETHYSTS;9996;1;9995;22;;;10004;1;10005;22;;;10000.0;4.0
0;1600;STARFRUIT;4891;23;;;;;4897;23;;;;;4894.0;49.734375
0;1700;STARFRUIT;4890;27;;;;;4893;2;4897;27;;;4891.5;51.3046875
0;1700;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;4.0
0;1800;AMETHYSTS;9996;2;9995;25;;;10004;2;10005;25;;;10000.0;34.0
0;1800;STARFRUIT;4891;2;4890;25;;;4897;27;;;;;4894.0;51.77734375
0;1900;STARFRUIT;4890;31;;;;;4897;31;;;;;4893.5;55.36328125
0;1900;AMETHYSTS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;34.0
0;2000;AMETHYSTS;9996;1;9995;25;;;10002;7;10004;1;10005;25;9999.0;34.0
0;2000;STARFRUIT;4890;26;;;;;4895;7;4896;1;4897;25;4892.5;58.046875
0;2100;STARFRUIT;4890;23;;;;;4897;23;;;;;4893.5;60.0859375
0;2100;AMETHYSTS;9995;23;;;;;10005;23;;;;;10000.0;34.0
0;2200;AMETHYSTS;9996;2;9995;30;;;10004;2;10005;30;;;10000.0;34.0
0;2200;STARFRUIT;4890;2;4889;30;;;4896;32;;;;;4893.0;62.421875
0;2300;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;34.0
0;2300;STARFRUIT;4890;2;4889;22;;;4896;24;;;;;4893.0;115.0625
0;2400;AMETHYSTS;9998;4;9996;2;9995;23;10004;2;10005;23;;;10001.0;34.0
0;2400;STARFRUIT;4894;3;4890;6;4889;23;4896;25;;;;;4895.0;114.625
0;2500;AMETHYSTS;9996;1;9995;20;;;10004;1;10005;20;;;10000.0;34.0
0;2500;STARFRUIT;4890;21;;;;;4891;5;4896;1;4897;20;4890.5;106.84375
0;2600;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;34.0
0;2600;STARFRUIT;4889;25;;;;;4896;25;;;;;4892.5;109.0625
0;2700;AMETHYSTS;9998;4;9996;1;9995;24;10004;1;10005;24;;;10001.0;24.0
0;2700;STARFRUIT;4890;10;4889;24;;;4896;25;;;;;4893.0;109.546875
0;2800;AMETHYSTS;9998;5;9995;29;;;10005;29;;;;;10001.5;24.0
0;2800;STARFRUIT;4895;1;4891;5;4890;29;4897;29;;;;;4896.0;90.96875
0;2900;AMETHYSTS;10002;10;9996;2;9995;23;10004;2;10005;23;;;10003.0;22.0
0;2900;STARFRUIT;4891;25;;;;;4897;25;;;;;4894.0;69.0
0;3000;AMETHYSTS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;22.0
0;3000;STARFRUIT;4891;31;;;;;4897;31;;;;;4894.0;67.484375
0;3100;AMETHYSTS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;22.0
0;3100;STARFRUIT;4891;27;;;;;4897;2;4898;26;;;4894.0;61.46875
0;3200;AMETHYSTS;9996;2;9995;30;;;10002;6;10004;2;10005;30;9999.0;22.0
0;3200;STARFRUIT;4891;32;;;;;4896;6;4898;32;;;4893.5;38.734375
0;3300;AMETHYSTS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;22.0
0;3300;STARFRUIT;4891;28;;;;;4897;2;4898;26;;;4894.0;54.421875
0;3400;AMETHYSTS;9996;2;9995;27;;;10004;2;10005;27;;;10000.0;6.0
0;3400;STARFRUIT;4891;29;;;;;4897;2;4898;27;;;4894.0;54.078125
0;3500;AMETHYSTS;9996;2;9995;28;;;10002;9;10004;2;10005;28;9999.0;6.0
0;3500;STARFRUIT;4891;30;;;;;4896;9;4897;2;4898;28;4893.5;54.03125
0;3600;AMETHYSTS;9995;21;;;;;9998;1;10005;21;;;9996.5;6.0
0;3600;STARFRUIT;4891;21;;;;;4898;21;;;;;4894.5;58.59375
0;3700;AMETHYSTS;9996;2;9995;29;;;10000;5;10002;7;10004;2;9998.0;6.0
0;3700;STARFRUIT;4892;31;;;;;4896;6;4898;31;;;4894.0;28.796875
0;3800;AMETHYSTS;10002;1;9996;1;9995;29;10004;1;10005;29;;;10003.0;6.0
0;3800;STARFRUIT;4892;30;;;;;4898;1;4899;29;;;4895.0;18.71875
0;3900;AMETHYSTS;9998;1;9995;25;;;10005;25;;;;;10001.5;6.0
0;3900;STARFRUIT;4893;1;4892;25;;;4898;25;;;;;4895.5;29.109375
0;4000;AMETHYSTS;10002;9;9996;2;9995;27;10004;2;10005;27;;;10003.0;6.0
0;4000;STARFRUIT;4892;2;4891;27;;;4898;29;;;;;4895.0;37.828125
0;4100;AMETHYSTS;9996;1;9995;23;;;10004;1;10005;23;;;10000.0;6.0
0;4100;STARFRUIT;4892;24;;;;;4899;24;;;;;4895.5;7.484375
0;4200;AMETHYSTS;9996;2;9995;26;;;10004;2;10005;26;;;10000.0;6.0
0;4200;STARFRUIT;4892;26;;;;;4893;10;4899;28;;;4892.5;-7.375
0;4300;AMETHYSTS;9996;2;9995;29;;;10004;2;10005;29;;;10000.0;6.0
0;4300;STARFRUIT;4892;31;;;;;4899;31;;;;;4895.5;-30.640625
0;4400;AMETHYSTS;9996;1;9995;26;;;9998;1;10004;1;10005;26;9997.0;-11.0
0;4400;STARFRUIT;4892;26;;;;;4899;27;;;;;4895.5;-41.21875
0;4500;AMETHYSTS;9995;27;;;;;10005;27;;;;;10000.0;-13.0
0;4500;STARFRUIT;4892;27;;;;;4899;27;;;;;4895.5;-43.421875
0;4600;AMETHYSTS;9996;1;9995;21;;;10004;1;10005;21;;;10000.0;-13.0
0;4600;STARFRUIT;4893;1;4892;21;;;4899;22;;;;;4896.0;-38.890625
0;4700;AMETHYSTS;9998;4;9996;1;9995;26;10004;1;10005;26;;;10001.0;-13.0
0;4700;STARFRUIT;4892;27;;;;;4893;8;4899;27;;;4892.5;-46.53125
0;4800;AMETHYSTS;10002;3;9996;1;9995;24;10004;1;10005;24;;;10003.0;-13.0
0;4800;STARFRUIT;4898;1;4893;1;4892;24;4899;25;;;;;4898.5;-78.78125
0;4900;AMETHYSTS;9995;22;;;;;9998;4;10005;22;;;9996.5;-9.0
0;4900;STARFRUIT;4893;22;;;;;4899;22;;;;;4896.0;-84.28125
0;5000;AMETHYSTS;9998;3;9996;1;9995;22;10004;1;10005;22;;;10001.0;-17.0
0;5000;STARFRUIT;4893;4;4892;22;;;4899;23;;;;;4896.0;-75.0625
0;5100;AMETHYSTS;10002;1;9998;9;9995;25;10005;25;;;;;10003.5;-17.0
0;5100;STARFRUIT;4894;7;4893;25;;;4899;25;;;;;4896.5;-95.625
0;5200;AMETHYSTS;9996;2;9995;22;;;10004;2;10005;22;;;10000.0;-17.0
0;5200;STARFRUIT;4893;24;;;;;4900;24;;;;;4896.5;-122.8125
0;5300;STARFRUIT;4893;25;;;;;4900;25;;;;;4896.5;-137.125
0;5300;AMETHYSTS;9995;25;;;;;10005;25;;;;;10000.0;-17.0
0;5400;STARFRUIT;4894;27;;;;;4899;8;4901;27;;;4896.5;-202.8125
0;5400;AMETHYSTS;9995;27;;;;;10000;6;10002;8;10005;27;9997.5;-17.0
0;5500;AMETHYSTS;9996;1;9995;29;;;10004;1;10005;29;;;10000.0;-17.0
0;5500;STARFRUIT;4895;1;4894;29;;;4901;30;;;;;4898.0;-212.90625
0;5600;AMETHYSTS;10002;1;9998;8;9996;1;10004;1;10005;26;;;10003.0;-17.0
0;5600;STARFRUIT;4896;8;4895;27;;;4901;1;4902;26;;;4898.5;-245.9375
0;5700;STARFRUIT;4897;2;4896;4;4895;25;4901;25;;;;;4899.0;-230.0
0;5700;AMETHYSTS;9998;4;9996;2;9995;23;10004;2;10005;23;;;10001.0;-17.0
0;5800;STARFRUIT;4900;1;4895;10;4894;24;4901;24;;;;;4900.5;-207.3125
0;5800;AMETHYSTS;10002;1;9998;10;9995;24;10005;24;;;;;10003.5;-17.0
0;5900;AMETHYSTS;10000;5;9996;1;9995;20;10004;1;10005;20;;;10002.0;-17.0
0;5900;STARFRUIT;4895;21;;;;;4901;21;;;;;4898.0;-231.0
0;6000;AMETHYSTS;9996;2;9995;22;;;9998;4;10004;2;10005;22;9997.0;-17.0
